朗诗万都玲珑樾
29条点评,在售 住宅 刚需房 学校 大阳台 南北通透
,恒大滨江
37条点评,在售 住宅 改善房 学校 投资地产 江景
,万科金域国际
35条点评,在售 住宅 改善房 商场 品牌开发商 大阳台
,路易庄园
10条点评,在售 别墅 轨交房 改善房 养老房 大阳台
,绿地紫金中心
10条点评,在售 酒店式公寓 轨交房 即将开盘 酒店式公寓 湖景
,明发明博小镇
19条点评,在售 住宅 刚需房 学校 品牌开发商 大阳台
,碧桂园S1秦淮世家
62条点评,待售 住宅 刚需房 新开盘 投资地产 品牌开发商
,招商城市主场
104条点评,在售 商住 轨交房 刚需房 商场 学校
,银城君颐东方
19条点评,在售 住宅 轨交房 养老房 豪宅 品牌开发商
,恒大悦澜湾
53条点评,在售 住宅 轨交房 改善房 大阳台 大客厅
,银城KINMA Q+社区
12条点评,在售 商住 轨交房 商场 品牌开发商 精装修
,绿地云尚
11条点评,在售 商住 轨交房 酒店式公寓 学校 投资地产
,泰达青筑
34条点评,在售 住宅 大阳台 loft 大客厅 南北通透
,中交锦致
29条点评,在售 住宅 轨交房 品牌开发商 大阳台 菜市场
,银亿东城
135条点评,在售 别墅 刚需房 投资地产 低密度 大阳台
,碧桂园湖光山色
10条点评,在售 别墅 改善房 湖景 带泳池 大阳台
,新城璞樾钟山
35条点评,在售 住宅 轨交房 改善房 新开盘 品牌开发商
,宝隆时代广场
16条点评,在售 商住 轨交房 学校 新开盘 医院
,中骏四季阳光
10条点评,在售 住宅 投资地产 品牌开发商 精装修 医院
,毅达中心
15条点评,在售 商住 轨交房 投资地产 复式 单身公寓
,MIX悦享家
10条点评,在售 办公楼 酒店式公寓 低总价 综合体 投资地产
,金陵凤栖园
24条点评,在售 住宅 轨交房 酒店式公寓 投资地产 单身公寓
,碧桂园S9紫金庄园
13条点评,在售 住宅 刚需房 低单价 社区超市 地暖
,新城源山
15条点评,在售 别墅 改善房 新开盘 品牌开发商 低密度
,城品国际广场
10条点评,在售 办公楼 轨交房 商场 学校 投资地产
,碧桂园晚亭印象
15条点评,在售 住宅 新开盘 投资地产 品牌开发商 大阳台
,弘阳山卿
10条点评,在售 别墅 改善房 即将开盘 品牌开发商 低密度
,碧桂园S6江南世家
16条点评,在售 住宅 刚需房 低单价 公交枢纽 投资地产
,招商1872ipark公寓
15条点评,在售 商住 轨交房 商场 新开盘 品牌开发商
,碧桂园龙山源著
11条点评,在售 别墅 改善房 湖景 品牌开发商 主卧套房
,雅居乐山湖城
荐 11条点评,在售 别墅 景区 改善房 旅游地产 品牌开发商
,江山汇悦山府
荐 14条点评,在售 住宅 轨交房 改善房 江景 景观小区
,电建地产·洺悦府
荐 31条点评,在售 住宅 新开盘 改善房 双阳台 品牌开发商
,万科和昌金域东方
荐 21条点评,在售 住宅 刚需房 低总价 主卧套房 品牌开发商
,世茂外滩新城
荐 125条点评,待售 住宅 改善房 学校 豪宅 江景
,东屏湖9号
荐 12条点评,待售 别墅 改善房 人工湖 大阳台 景观小区
,龙湖棠城
荐 14条点评,待售 住宅 轨交房 刚需房 商场 品牌开发商
,碧桂园奥能罗马世纪城
荐 21条点评,在售 住宅 大型社区 洋房 湖景 品牌开发商
,新江北孔雀城
荐 80条点评,在售 住宅 刚需房 即将开盘 养老房 投资地产
,亚东同城逸境九筑
荐 34条点评,待售 住宅 大阳台 大客厅 南北通透 双阳台
,郦湖美墅
荐 31条点评,在售 别墅 改善房 即将开盘 养老房 品牌开发商
,保利堂悦
荐 91条点评,在售 商住 轨交房 投资地产 改善房 品牌开发商
,泰禾金尊府
荐 11条点评,待售 住宅 投资地产 改善房 山景 学校
,嘉华嘉誉山
30条点评,在售 住宅 改善房 投资地产 品牌开发商 车位充足
,电建地产海赋尚城
87条点评,在售 住宅 改善房 轨交房 品牌开发商 飘窗
,融信城市之窗
19条点评,在售 商住 即将开盘 酒店式公寓 商场 轨交房
,融侨观邸
38条点评,在售 住宅 刚需房 改善房 商场 投资地产
,高淳雅居乐花园
33条点评,在售 住宅 品牌开发商 大阳台 车位充足 南北通透
,世茂城品
47条点评,在售 住宅 轨交房 改善房 学校 新开盘
,苏宁北外滩水城
216条点评,在售 住宅 轨交房 刚需房 江景 品牌开发商
,远洋山水
荐 86条点评,在售 住宅 刚需房 即将开盘 品牌开发商 景观小区
,力标赞城
81条点评,在售 住宅 刚需房 学校 大阳台 车位充足
,碧桂园翡翠华府
104条点评,在售 住宅 刚需房 大客厅 南北通透 大户型
,弘阳禹洲时光春晓
18条点评,在售 住宅 刚需房 品牌开发商 大阳台 大客厅
,明发北站新城
19条点评,在售 住宅 刚需房 低单价 低总价 学校
,万达茂
84条点评,在售 商住 即将开盘 轨交房 大型社区 低总价
,金象朗诗红树林
45条点评,在售 住宅 科技住宅 改善房 学校 江景
,仙林首望城
16条点评,在售 住宅 低总价 刚需房 山景 投资地产
,长江熙岸孔雀城
33条点评,在售 住宅 即将开盘 低总价 低单价 景观小区
,御澜府
20条点评,在售 住宅 景观小区 轨交房 学校 大主卧
,碧桂园十里春风
11条点评,在售 住宅 地暖 投资地产 低单价 品牌开发商
,海玥名都
38条点评,待售 住宅 轨交房 改善房 商场 学校
,冠城大通蓝郡
97条点评,待售 住宅 轨交房 刚需房 改善房 大阳台
,滁州正荣府,在售 住宅 改善房 公园 投资地产 品牌开发商
,紫艺华府
66条点评,在售 住宅 轨交房 刚需房 南北通透 低单价
,中冶盛世滨江
41条点评,待售 商住 商场 品牌开发商 大阳台 大客厅
,银城东岳府
19条点评,待售 住宅 改善房 养老房 人车分流 菜市场
,翠屏城
172条点评,待售 住宅 湖景 人工湖 低密度 大阳台
,绿地国际花都
125条点评,待售 商住 刚需房 湖景 品牌开发商 低单价
,碧桂园北岸世家
10条点评,在售 住宅 商场 社区超市 学校 品牌开发商
,沣麟公园壹号,待售 酒店式公寓 酒店式公寓 科技住宅 投资地产 医院
,雍福龙庭
71条点评,在售 住宅 轨交房 带网球场 低密度 大阳台
,中海滨江U-LIVE
5条点评,待售 商住
,滟紫台
39条点评,在售 别墅 轨交房 豪宅 投资地产 低密度
,BackBay贝克湾
10条点评,待售 住宅 湖景 改善房 带幼儿园 投资地产
,绿地花茂
10条点评,待售 商住 酒店式公寓 投资地产 美食街 公园
,碧桂园北站华府
10条点评,待售 住宅 投资地产 刚需房 低单价 地暖
,融信世纪东方,待售 住宅 改善房 婚房 山景 学校
,北江锦城
116条点评,在售 住宅 轨交房 刚需房 学校 大阳台
,碧桂园大学印象
56条点评,在售 住宅 即将开盘 山景 大主卧 低总价
,明发银河城
